"","LTR16A|72|451","LTR91|636|874","LTR27D|87|222","condition"
"ERR8316148","14.597790","23.282738"," 34.402851","T"
"ERR8316149"," 7.200158","26.915365","  0.000000","T"
"ERR8316150","23.662498","21.229026"," 20.912174","T"
"ERR8316151"," 8.631874","13.586253"," 26.766947","T"
"ERR8316152"," 2.712395"," 3.244600","153.416310","T"
"ERR8316153","11.030935","40.750307","  0.000000","N"
"ERR8316154"," 7.773756","20.664582"," 10.178078","T"
"ERR8316155"," 5.302122","35.235906"," 41.651996","T"
"ERR8316156","20.707441","51.605191"," 10.166993","T"
"ERR8316157"," 4.111562","54.101308"," 19.379573","T"
"ERR8316158","14.219441","42.523668","  0.000000","T"
"ERR8316159"," 5.534875","55.174037"," 65.220652","T"
"ERR8316160"," 4.357799","40.958123","  7.335783","T"
"ERR8316161"," 7.669473","50.458739","  0.000000","T"
"ERR8316162"," 9.126855","13.647068","125.471546","T"
"ERR8316163"," 5.045367","28.500167","  3.302917","T"
"ERR8316164"," 5.266085","12.114143"," 71.600010","T"
"ERR8316165"," 5.500721","25.850113","  4.629871","T"
"ERR8316166"," 1.794596","14.311452","  7.048924","T"
"ERR8316167"," 6.868962","29.345486"," 11.562997","T"
"ERR8316168"," 3.390470","12.167164"," 23.971129","N"
"ERR8316169"," 5.612497","74.330665","  9.447903","T"
"ERR8316170"," 3.586438"," 4.290141"," 16.904435","N"
"ERR8316171"," 9.916492"," 0.000000","  0.000000","N"
"ERR8316172"," 7.829396","24.529001","  4.393254","N"
"ERR8316173"," 5.669267"," 8.477057"," 16.701068","N"
"ERR8316174"," 5.776539","23.033220"," 13.613665","N"
"ERR8316175"," 3.766927","48.815472","  0.000000","N"
"ERR8316176"," 4.682658","25.461145","  5.016225","N"
"ERR8316177"," 5.560841","19.955836","  0.000000","N"
"ERR8316178"," 7.446376"," 4.048839","183.466774","T"
"ERR8316179"," 8.394442"," 9.128666"," 62.946924","T"
"ERR8316180","11.525235","25.066591","  0.000000","T"
"ERR8316181"," 6.632868"," 9.917897"," 68.389078","T"
"ERR8316182","20.285026","22.059267"," 43.460048","T"
"ERR8316183"," 6.746689","40.352359","132.500282","T"
"ERR8316184"," 8.349805","24.970346"," 12.298827","T"
"ERR8316185"," 5.872732"," 0.000000","  0.000000","T"
"ERR8316186"," 6.263161","18.730173"," 55.351855","T"
"ERR8316187"," 5.615554","33.586966"," 44.114225","T"
"ERR8316188"," 3.985992","37.747394"," 11.742316","T"
