"","LTR16A|72|451","LTR91|636|874","LTR27D|87|222","condition"
"SRR4457115"," 0.000000"," 76.183108","  0.000000","N"
"SRR4457116"," 0.000000","  7.746961","  0.000000","N"
"SRR4457117"," 0.000000"," 60.534601","  0.000000","N"
"SRR4457118"," 0.000000","  3.482651","  6.861343","N"
"SRR4457119"," 0.583910"," 55.878419","  0.000000","N"
"SRR4457120"," 8.595810","119.961480"," 33.763146","T"
"SRR4457121","10.519442"," 39.737319","215.293235","T"
"SRR4457122","13.893302"," 68.645082","327.425718","T"
"SRR4457123"," 1.595225","  0.000000","137.848048","T"
"SRR4457124","17.486314"," 24.403564"," 82.420565","T"
