"","LTR16A|72|451","LTR91|636|874","LTR27D|87|222","condition"
"SRR26119331","  2.6351364"," 0.000000"," 37.261616","T"
"SRR26119332","  9.6303539"," 0.000000","148.397009","T"
"SRR26119333"," 20.0126724"," 0.000000"," 62.058149","T"
"SRR26119334"," 12.9796876"," 9.315876","477.195308","T"
"SRR26119335","  9.4409397"," 2.171801"," 51.345272","T"
"SRR26119336"," 25.4795015"," 0.000000","683.304368","T"
"SRR26119337","  7.0872708"," 0.000000"," 51.392884","T"
"SRR26119338","  4.4215714"," 0.000000","  5.789105","T"
"SRR26119339"," 13.1520424"," 3.277632","406.817699","T"
"SRR26119341"," 27.7406067"," 9.572207","251.449012","T"
"SRR26119342"," 11.0261389","23.275766","145.212991","T"
"SRR26119343"," 15.0896608"," 0.000000"," 94.832137","T"
"SRR26119345","  4.2623395"," 5.098662"," 40.180502","T"
"SRR26119346","  5.3180801","20.241301"," 85.453681","T"
"SRR26119347"," 26.1446168","19.546567","169.442481","T"
"SRR26119349"," 18.8333669"," 5.120159","131.137219","T"
"SRR26119350"," 15.1585348"," 0.000000","128.607724","T"
"SRR26119351","  7.5866132"," 0.000000","489.056799","T"
"SRR26119353"," 14.9266905"," 0.000000","113.477344","T"
"SRR26119354","  3.8218313","14.286628","185.768809","T"
"SRR26119359"," 11.3249498"," 0.000000","  3.706902","T"
"SRR26119362"," 10.8534178"," 7.637053","112.846006","T"
"SRR26119363","  2.7035488","16.170089"," 95.572467","N"
"SRR26119364"," 23.3782092"," 9.321766"," 55.095809","N"
"SRR26119365","  3.0905645","18.484854","133.532375","N"
"SRR26119367","  0.0000000","68.455041"," 40.459994","N"
"SRR26119368","  9.2316310","11.042989"," 32.634504","N"
"SRR26119370","  8.4159357"," 0.000000"," 76.284514","N"
"SRR26119371","  0.0000000"," 0.000000","220.801627","N"
"SRR26119372"," 10.9613374","32.780212"," 18.451974","N"
"SRR26119373","  6.2760219"," 3.128106"," 18.488505","T"
"SRR26119374","  9.4101795"," 0.000000","  5.544281","N"
"SRR26119375","  2.4239774"," 9.665304"," 38.084182","N"
"SRR26119377"," 10.4744509"," 7.370391"," 21.781156","N"
"SRR26119378","  5.8859300","13.201539"," 17.339335","N"
"SRR26119382","150.5701395"," 0.000000","  0.000000","T"
"SRR26119383","  9.5909573","11.472819","173.290943","T"
"SRR26119384"," 23.3224563"," 0.000000"," 27.482208","T"
"SRR26119388"," 12.3999140"," 8.557458"," 50.578409","T"
"SRR26119389","  9.4348601"," 0.000000","  0.000000","T"
"SRR26119390"," 19.0901474"," 3.085928","  0.000000","T"
"SRR26119392"," 10.9238918"," 0.000000"," 25.744515","N"
"SRR26119393","  6.0606626"," 7.249838"," 14.283263","N"
"SRR26119394"," 13.1181362","26.153456"," 10.305242","N"
"SRR26119395","  1.2894339"," 7.712182"," 45.582450","N"
"SRR26119396","  9.2899882","24.695103"," 60.816300","N"
"SRR26119397","  4.7060677"," 0.000000","  0.000000","N"
"SRR26119399"," 20.9973343"," 0.000000","  9.516300","N"
"SRR26119400","  3.0517497"," 0.000000"," 26.970407","N"
"SRR26119401","  7.0394212"," 0.000000"," 36.866488","N"
"SRR26119402","  7.8988046","10.498495","  0.000000","N"
"SRR26119404"," 15.2296553"," 0.000000","  0.000000","N"
"SRR26119405","  9.4555202"," 0.000000","143.254155","N"
"SRR26119406"," 17.8450446"," 6.670768","  0.000000","N"
"SRR26119407","  9.6794879","17.813417"," 17.547545","N"
"SRR26119408","  0.8994107"," 5.379430","  0.000000","N"
"SRR26119410","  0.0000000"," 0.000000","  0.000000","N"
"SRR26119411"," 13.1600355"," 0.000000"," 11.928643","N"
"SRR26119412","  8.3573562"," 3.845066"," 30.301413","N"
"SRR26119413"," 12.5674053","14.093702","  9.255566","N"
"SRR26119414","  0.0000000"," 0.000000","  0.000000","N"
"SRR26119415","  1.6137531","19.303910","  0.000000","N"
"SRR26119416","  9.9586920"," 0.000000"," 67.056608","T"
"SRR26119417","  2.9233892","17.484968","  0.000000","N"
"SRR26119419","  3.4986321"," 0.000000"," 20.613209","N"
"SRR26119421","  7.7669437","19.909098"," 26.149262","N"
"SRR26119422","  1.3901015"," 0.000000"," 65.521501","N"
"SRR26119423","  5.3598459","12.823025","  6.315818","N"
"SRR26119425","  4.4647495"," 0.000000"," 52.610742","T"
"SRR26119427","  0.0000000"," 0.000000","130.788597","T"
"SRR26119428"," 33.2565218"," 5.375926","730.805023","T"
"SRR26119429","  6.6808676"," 2.854191"," 56.231823","T"
"SRR26119431"," 14.2330698"," 7.738987"," 91.481752","T"
"SRR26119432","  8.8603456","15.586548","319.361395","T"
"SRR26119434"," 13.0807593"," 9.027325","219.350516","T"
"SRR26119435"," 12.5588913"," 7.153856"," 28.188329","T"
"SRR26119437","  2.8754672"," 3.439669"," 67.766607","T"
"SRR26119438"," 91.9619953","12.866205"," 31.685430","T"
"SRR26119439"," 14.0095293","17.774028","510.254811","T"
"SRR26119441","  3.9122818","15.599730","115.251734","T"
"SRR26119443","  8.6521451"," 6.468626"," 19.116237","T"
"SRR26119444"," 13.0338237","23.386827","225.258193","T"
"SRR26119448","  9.9214551"," 4.564679","  8.993098","N"
"SRR26119449","  5.2354391","44.733541"," 17.626350","N"
"SRR26119450"," 10.2314366","11.474033","  7.535186","N"
"SRR26119451","  5.3684670"," 8.027282"," 79.074714","N"
"SRR26119452"," 10.7929374"," 4.610944","354.285649","T"
"SRR26119453","  5.3699874"," 0.000000","  0.000000","N"
