"","LTR16A|72|451","LTR91|636|874","LTR27D|87|222","condition"
"SRR10822540"," 0.0000000"," 0.000000","  0.000000","T"
"SRR10822541","30.5212988"," 0.000000","  0.000000","T"
"SRR10822542"," 0.0000000"," 0.000000","  0.000000","T"
"SRR10822543"," 4.6432559"," 0.000000","  5.471419","T"
"SRR10822544"," 0.0000000"," 0.000000","  0.000000","T"
"SRR10822545"," 0.0000000"," 0.000000","  0.000000","T"
"SRR10822546"," 4.1953716"," 1.792341","  0.000000","T"
"SRR10822547"," 5.7324835"," 0.000000"," 26.269129","T"
"SRR10822548"," 0.0000000"," 0.000000"," 32.682815","T"
"SRR10822549","24.5087542","11.452214","  0.000000","T"
"SRR10822550"," 0.0000000"," 0.000000","  0.000000","T"
"SRR10822551"," 7.1877589"," 1.535372","  0.000000","T"
"SRR10822552"," 5.4602991"," 9.009208","  0.000000","T"
"SRR10822553"," 4.2154393"," 0.000000","518.018168","T"
"SRR10822554"," 3.6888789"," 1.697185","  0.000000","T"
"SRR10822555"," 4.9004547"," 1.628329","  0.000000","T"
"SRR10822556"," 3.2129217"," 4.177539","  4.938225","T"
"SRR10822557"," 1.1652114"," 5.575360","  0.000000","T"
"SRR10822558"," 3.1538527"," 0.000000","  0.000000","T"
"SRR10822559"," 3.8332367"," 3.275260","  0.000000","T"
"SRR10822560"," 1.4327294"," 2.856414","  0.000000","T"
"SRR10822561"," 0.0000000"," 9.785389","  0.000000","T"
"SRR10822562","10.3605564","18.590135","  0.000000","T"
"SRR10822563"," 5.0417200"," 0.000000","  0.000000","T"
"SRR10822564"," 1.3995577"," 3.348336","  0.000000","T"
"SRR10822565"," 8.3968858","43.741988"," 12.767148","T"
"SRR10822566"," 3.7558827","19.968144"," 29.505168","T"
"SRR10822567"," 4.0385877"," 0.000000","  0.000000","T"
"SRR10822568","19.8777888"," 6.369121"," 16.730825","T"
"SRR10822569"," 3.5028032"," 0.000000","  0.000000","T"
"SRR10822570"," 0.0000000","21.807226","  0.000000","T"
"SRR10822571"," 0.0000000"," 0.000000","  0.000000","T"
"SRR10822572"," 0.7497913","35.876378","  0.000000","T"
"SRR10822573"," 0.0000000"," 0.000000","  0.000000","T"
"SRR10822574","13.5695354"," 0.000000","127.918187","T"
"SRR10822575"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822576"," 6.8567527"," 0.000000"," 53.864739","N"
"SRR10822577","16.4344933"," 0.000000"," 15.492576","N"
"SRR10822578"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822579"," 0.0000000"," 9.026870"," 22.230352","N"
"SRR10822580"," 0.0000000"," 0.000000"," 20.009123","N"
"SRR10822581"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822582"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822583"," 1.7966125"," 0.000000","  0.000000","N"
"SRR10822584"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822585"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822586"," 0.0000000"," 0.000000"," 54.001247","N"
"SRR10822587"," 1.9446031"," 0.000000","  0.000000","N"
"SRR10822588"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822589"," 0.8208861"," 0.000000","  0.000000","N"
"SRR10822590"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822591"," 0.0000000"," 0.000000"," 13.401898","N"
"SRR10822592"," 1.2748213"," 0.000000","  0.000000","N"
"SRR10822593"," 0.0000000"," 0.000000"," 27.339171","N"
"SRR10822594"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822595"," 7.0429211"," 0.000000","  0.000000","N"
"SRR10822596"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822597"," 1.7497714"," 0.000000","  0.000000","N"
"SRR10822598"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822599"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822600"," 0.0000000"," 0.000000","  0.000000","N"
"SRR10822601","14.1374693"," 0.000000","  0.000000","N"
"SRR10822602"," 0.0000000"," 0.000000"," 22.643372","N"
"SRR10822603"," 8.4168630"," 0.000000","  0.000000","N"
"SRR10822604"," 0.7389147"," 0.000000","  8.707062","N"
