"","LTR16A|72|451","LTR91|636|874","LTR27D|87|222","condition"
"SRR7818895"," 2.4878952","0.000000","  14.65816","N"
"SRR7818896"," 0.0000000","0.000000","   0.00000","N"
"SRR7818897"," 2.1719147","6.495177","  25.59293","N"
"SRR7818898"," 1.4074474","0.000000","   0.00000","N"
"SRR7818899"," 1.4855231","2.961668","   0.00000","N"
"SRR7818900"," 0.0000000","0.000000","   0.00000","N"
"SRR7818901"," 0.5126254","0.000000","  54.36507","N"
"SRR7818902"," 4.0411482","3.021294","  17.85720","N"
"SRR7818903"," 4.4842137","0.000000"," 140.90693","N"
"SRR7818904"," 0.6769499","0.000000","  31.90758","N"
"SRR7818905"," 1.1740897","7.022302","   0.00000","T"
"SRR7818906"," 0.0000000","0.000000","  14.61761","T"
"SRR7818907"," 1.8366120","3.661629","  50.49769","T"
"SRR7818908","11.2743435","0.000000","  69.58922","T"
"SRR7818909"," 1.2794031","2.550729","1050.29126","T"
"SRR7818910"," 3.7690043","0.000000","  17.76495","T"
"SRR7818911"," 1.2860732","0.000000","  95.97881","T"
"SRR7818912"," 2.4492759","2.929854"," 161.62297","T"
"SRR7818913"," 2.5162506","0.000000","  35.58053","T"
"SRR7818914"," 2.4163025","3.613013","  56.94540","T"
